subject,big_1,small_1_1,small_1_2,small_1_3,big_2,small_2_1,small_2_2,small_2_3,big_3,small_3_1,small_3_2,small_3_3,big_4,small_4_1,small_4_2,small_4_3,big_5,small_5_1,small_5_2,small_5_3,big_6,small_6_1,small_6_2,small_6_3,big_7,small_7_1,small_7_2,small_7_3,big_8,small_8_1,small_8_2,small_8_3,big_9,small_9_1,small_9_2,small_9_3,big_10,small_10_1,small_10_2,small_10_3
2005,0.176501955,0.087928687,0.112509055,0.15783563,0.128588557,0.134866312,0.256953828,0.115713171,0.138327243,0.181013756,0.24381151,0.356938387,0.175724044,0.218912863,0.261701391,0.270572884,0.189929611,0.156014734,0.124934628,0.210763562,0.176443112,0.228249597,0.136292801,0.154058905,0.174424971,0.086616932,0.265696879,0.196948763,0.163730049,0.113692172,0.173074111,0.22341748,0.272618058,0.184370175,0.144933359,0.283936035,0.17659158,0.133213899,0.128851107,0.16913837
2006,0.134054222,0.151914067,0.091856016,0.077517242,0.102798711,0.066151973,0.074297174,0.16011634,0.154854232,0.106764466,0.132435429,0.095345828,0.147620141,0.174633764,0.087904809,0.198266249,0.081712948,0.11513844,0.11035251,0.148967226,0.100676407,0.091859183,0.080146776,0.233759538,0.193207023,0.113025317,0.130224832,0.093832432,0.145286252,0.115293713,0.074775519,0.21743365,0.09421182,0.143284246,0.098473983,0.095538953,0.187382349,0.076577981,0.114049475,0.080821217
2007,0.210467198,0.080118206,0.150344147,0.119120763,0.257596872,0.125796862,0.164195227,0.120693762,0.180588709,0.127247744,0.098474497,0.088285456,0.217405257,0.1354953,0.140955643,0.106547101,0.174984573,0.228668725,0.109855796,0.207701528,0.206526085,0.099200189,0.107833672,0.167432757,0.158088615,0.175988328,0.160201464,0.250179231,0.104669175,0.16776881,0.164300009,0.239447107,0.129508887,0.12305633,0.179154934,0.093334724,0.13712811,0.090369694,0.163675619,0.16051043
2008,0.272854373,0.245198843,0.420396567,0.20407358,0.267912471,0.228883292,0.322311066,0.204869753,0.346294503,0.607558121,0.405647488,0.158782957,0.303776991,0.254490452,0.1641923,0.287886151,0.362134294,0.232859771,0.183203091,0.226229793,0.820477969,0.208263024,0.424718241,0.317821506,0.383438937,0.224405215,0.303151204,0.241144977,0.279195526,0.428365876,0.120966335,0.286320532,0.374378909,0.351918183,0.300265001,0.627301929,0.378647671,0.354153865,0.237475193,0.306452762
2009,0.140089163,0.120550783,0.088321715,0.07658246,0.125057798,0.101171335,0.116839144,0.118454365,0.171856791,0.143590471,0.187144066,0.11657998,0.17381074,0.124692851,0.192098732,0.141646071,0.159457664,0.207234396,0.127161639,0.138135734,0.236130761,0.172567223,0.174300394,0.150264699,0.191616806,0.241372995,0.204834566,0.251569935,0.164405544,0.224352252,0.069351313,0.211384564,0.131020582,0.198207924,0.237950018,0.137513899,0.493776839,0.212662654,0.115448783,0.135489367
2010,0.212934303,0.198600519,0.249902778,0.26677557,0.180838327,0.174013589,0.130283239,0.17021813,0.166326026,0.158326865,0.165124278,0.13646813,0.166822365,0.083826451,0.179220439,0.13579463,0.275620243,0.143207665,0.187500607,0.078174671,0.185578914,0.12613936,0.100720304,0.126287532,0.151841804,0.148330612,0.255585472,0.169930281,0.171823208,0.130534115,0.293544221,0.123694992,0.132261412,0.159031833,0.181458753,0.165920233,0.189767085,0.140127531,0.076018828,0.130339179
2011,0.239902734,0.125895741,0.113290085,0.111438563,0.119985302,0.084935851,0.101573922,0.125874888,0.08731564,0.096610121,0.08026567,0.062794543,0.109327054,0.100459571,0.096342483,0.076944685,0.151127997,0.079159709,0.067039454,0.078384745,0.211807924,0.09581744,0.082724547,0.086386497,0.09381119,0.09861106,0.123418214,0.122573019,0.137847413,0.082616436,0.156319425,0.12206638,0.161241584,0.149970686,0.091471468,0.098248408,0.133792275,0.112368218,0.110880703,0.132201241
2012,0.106967945,0.169193792,0.076848119,0.102554644,0.146828419,0.124502341,0.113853401,0.143662085,0.135204088,0.146063219,0.163789953,0.112482986,0.135900686,0.086083415,0.113371221,0.168161208,0.118420084,0.061095361,0.079640021,0.136961379,0.090676635,0.118801081,0.102684478,0.151174785,0.088811666,0.070488844,0.156604763,0.152203901,0.111269171,0.067163177,0.077487405,0.085813661,0.113673568,0.106465774,0.102411968,0.095444507,0.146186057,0.104904194,0.161405595,0.151572813
3001,0.200410664,0.162562506,0.144182086,0.058164651,0.623824304,0.152997507,0.122592468,0.099704309,0.115625609,0.101386645,0.128940993,0.165601046,0.131410471,0.162947968,0.122974105,0.1788314,0.096200788,0.209596143,0.169248899,0.096670019,0.074967808,0.163765299,0.08149951,0.066012609,0.156152734,0.148153054,0.082643519,0.098405439,0.163617212,0.116610526,0.107342218,0.099796236,0.224707316,0.146524873,0.111266232,0.197999141,0.240438812,0.183072319,0.12844989,0.13064339
3002,0.116098087,0.099510192,0.109586542,0.088254014,0.071840752,0.057412635,0.051263371,0.066753559,0.086780794,0.069387185,0.058112723,0.050628232,0.064643194,0.059728937,0.053743373,0.061200178,0.096616184,0.037924762,0.077205902,0.064431169,0.101569546,0.058855883,0.054610763,0.063662811,0.070950724,0.08778497,0.06781602,0.080923111,0.101603296,0.08071484,0.105417921,0.054232978,0.059948545,0.059171718,0.075604956,0.07197504,0.079408546,0.039719887,0.073778396,0.055506364
3003,0.137802173,0.073216272,0.091183659,0.074541251,0.15833249,0.150800949,0.102902221,0.077959527,0.123632668,0.103678694,0.083426758,0.055749728,0.108452497,0.080297761,0.145925644,0.080678439,0.088146398,0.081095796,0.093612287,0.10125707,0.208962891,0.22496522,0.09500651,0.114988434,0.156333515,0.252784679,0.069321724,0.105980427,0.113260374,0.156095601,0.093703697,0.093189126,0.09804662,0.082331956,0.086143685,0.106291036,0.116373581,0.1746732,0.11115718,0.120416776
3004,0.127950703,0.076247284,0.070749731,0.114990279,0.117191225,0.149262141,0.099509436,0.076348875,0.126537602,0.138029288,0.133034434,0.126431536,0.111984682,0.106721744,0.128305933,0.144367519,0.159380512,0.148985234,0.135249213,0.107707799,0.131094249,0.118043212,0.114578648,0.097726021,0.142918828,0.091448406,0.052157302,0.103564709,0.104441117,0.106009915,0.105635996,0.140811965,0.157573132,0.149550718,0.119048406,0.100430219,0.143096591,0.127225196,0.09203892,0.108800023
3006,0.097717341,0.10215978,0.073796822,0.106449046,0.076118852,0.10079691,0.099161651,0.079893895,0.090136791,0.063541172,0.145220918,0.085536089,0.112912321,0.08340034,0.070824771,0.057659293,0.12503163,0.071676267,0.111595883,0.111422549,0.150744873,0.101456795,0.066783711,0.070055359,0.095674525,0.074564638,0.095488786,0.072834585,0.079492706,0.052640687,0.096356144,0.11828403,0.100697333,0.08519062,0.121870435,0.064005858,0.08823399,0.059497535,0.108863382,0.085329357
3007,0.185549095,0.139161432,0.137004266,0.160569883,0.148877951,0.17557394,0.108418856,0.066240559,0.135554481,0.155166955,0.095163654,0.172095363,0.130958245,0.196606093,0.06058735,0.100651591,0.101244663,0.195052792,0.078479954,0.172571095,0.209354047,0.123660768,0.076394561,0.194595359,0.185317837,0.111324469,0.152728627,0.183859809,0.140231874,0.146553605,0.11065481,0.183531101,0.138405293,0.114716136,0.117442998,0.181334995,0.179695105,0.177045443,0.113302617,0.233351834
3008,0.172346252,0.120655767,0.167416998,0.110561468,0.121472738,0.107404529,0.086459837,0.11069644,0.127052541,0.127903751,0.109674839,0.111929371,0.104656155,0.137153724,0.071867704,0.129520725,0.151174216,0.158708788,0.157532532,0.205329085,0.127846604,0.125238096,0.055704032,0.090110932,0.181958789,0.19160421,0.136440724,0.090714849,0.124119843,0.198611361,0.165871239,0.143935634,0.61428454,0.142283357,0.308524845,0.144524491,0.277879307,0.16576075,0.146137948,0.264433545
3009,0.119217773,0.079999567,0.119523907,0.070851093,0.085138548,0.108245202,0.114039305,0.176184819,0.088576429,0.074959702,0.089418618,0.148430958,0.122027484,0.143639506,0.097284234,0.099460149,0.163609897,0.112195424,0.107482541,0.089284092,0.098785019,0.088540012,0.121043617,0.129176101,0.119596446,0.108419267,0.168428968,0.173563912,0.174413086,0.103514365,0.158730982,0.166020476,0.107753387,0.161928831,0.156685935,0.13493723,0.099067671,0.109946948,0.141220537,0.141273051
3010,0.224420859,0.306516916,0.20978357,0.114187204,0.154810478,0.175681707,0.161678111,0.117977922,0.18934177,0.23123561,0.156673533,0.136112428,0.191792745,0.325185177,0.169871894,0.189876594,0.176566898,0.129074226,0.196485509,0.117624863,0.232977135,0.35611287,0.22691147,0.092936045,0.113645673,0.164943643,0.169917366,0.117469352,0.225624715,0.162277718,0.113004516,0.159548992,0.160153987,0.189805564,0.11084553,0.075683561,0.142583112,0.265013561,0.110346233,0.110647121
3011,0.102434893,0.06940677,0.086967927,0.087471035,0.078812422,0.068756015,0.063487188,0.109502659,0.11171322,0.095460934,0.0999901,0.06369505,0.117812577,0.102821719,0.095529153,0.072825495,0.121805044,0.072272617,0.112084818,0.06459788,0.101547904,0.1083351,0.091210328,0.067783641,0.115780644,0.064583907,0.071589425,0.081706157,0.070103976,0.085051336,0.083940332,0.087469793,0.096784439,0.073880924,0.068121306,0.089682089,0.109079462,0.086423345,0.064179772,0.095519827
3012,0.163528151,0.173844869,0.088414782,0.077795069,0.206154204,0.116222766,0.191241085,0.082434673,0.094027623,0.114876852,0.09370128,0.132787644,0.199968673,0.191796692,0.139658429,0.149586831,0.160265425,0.180014785,0.160963012,0.164112511,0.188006897,0.197495871,0.237479066,0.125471802,0.13936784,0.174615766,0.132409261,0.194564231,0.152969931,0.311041862,0.105247652,0.115936791,0.135078155,0.212893406,0.138969729,0.184760396,0.16692135,0.225475439,0.139472812,0.15140371
